prev_word;post_word;prev_pos;post_pos;tag
все;.;мест;.;3
муравьиный;.;прил;.;1
направление;.;сущ;.;2
трамвайный;?;прил;?;2
время;*;сущ;*;2
начинать;лучше;глаг;прил;2
дальнейший;игроки;прил;сущ;2
пластика;,;сущ;,;3
самый;ощущаться;прил;глаг;2
уличное;и;прил;союз;2
направление;велосипед;сущ;сущ;2
темп;не;сущ;част;2
,;денежный;,;прил;2
одно;рука;числ;сущ;3
коммунистический;остаться;прил;глаг;4
искусство;*;сущ;*;3
забастовочный;и;прил;союз;4
координация;:;сущ;:;3
исламистский;*;прил;*;4
наше;.;мест;.;3
мировое;вольный;прил;прил;4
признак;:;сущ;:;1
легчайший;сапог;прил;сущ;1
привычный;вверх;прил;нареч;3
за;облако;предл;сущ;2
прекращение;на;сущ;предл;2
траектория;.;сущ;.;2
скорость;невелика;сущ;нареч;1
прямолинейность;,;сущ;,;2
спокойное;он;прил;сущ;1
его;к;мест;предл;2
энергия;в;сущ;предл;1
крутильное;дневной;прил;прил;1
время;внутренний;сущ;прил;1
параметр;объект;сущ;сущ;1
график;пассажирский;сущ;прил;2
ход;поезд;сущ;сущ;1
нет;мысль;част;сущ;5
каждый;сердце;прил;сущ;5
естественно;сердце;нареч;сущ;5
картина;русский;сущ;прил;5
демократический;эпоха;прил;сущ;4
отражать;литературный;глаг;прил;6
размах;*;сущ;*;3
естественный;население;прил;сущ;2
непрерывный;груз;прил;сущ;1
скорость;кинопленка;сущ;сущ;1
свой;,;прил;,;3
состояние;стена;сущ;сущ;1
влияние;глаз;сущ;сущ;3
измерять;время;глаг;сущ;1
механический;и;прил;союз;1
орбитальный;планета;прил;сущ;2
постоянный;на;прил;предл;1
а;голова;союз;сущ;3
вид;-;сущ;-;1
изменить;планета;глаг;сущ;2
дорожный;,;прил;,;2
быстрый;глаз;прил;сущ;3
о;славянский;предл;прил;4
.;воздух;.;сущ;1
спортивный;мы;прил;мест;4
резкий;противопоказать;прил;глаг;3
ее;из;мест;предл;2
олимпийский;-;прил;-;4
антидопинговый;.;прил;.;4
дорожный;быть;прил;глаг;2
излишний;,;прил;,;3
дальнейший;вперед;прил;нареч;2
каждый;чувствоваться;прил;глаг;3
спонтанный;к;прил;предл;5
тимуровский;.;прил;.;4
ожидать;без;глаг;предл;6
броуновский;.;прил;.;1
организатор;*;сущ;*;4
.;ее;.;мест;4
заметный;все;прил;мест;4
отдаться;.;глаг;.;1
круговой;:;прил;:;1
без;,;предл;,;1
мощь;,;сущ;,;1
стряхивающий;палец;прил;сущ;3
в;.;предл;.;1
быстрый;полегчать;прил;глаг;3
сторона;мещанин;сущ;сущ;2
в;после;предл;предл;1
скрытный;он;прил;мест;3
начать;в;глаг;предл;2
резкий;и;прил;союз;3
женский;.;прил;.;4
хаотический;среди;прил;предл;1
видеть;к;глаг;предл;2
рабочий;к;прил;предл;4
какой-то;,;мест;,;1
сделать;встать;глаг;глаг;4
и;земля;союз;сущ;2
ход;этот;сущ;мест;6
пульсировать;от;глаг;предл;6
сочувствать;жизнь;глаг;сущ;6
неверный;-;прил;-;3
небольшой;рука;прил;сущ;3
с;вода;предл;сущ;1
заметный;все;прил;мест;1
без;быть;предл;глаг;1
короткий;сдвинуть;прил;глаг;3
любой;причинять;прил;глаг;3
скорость;(;сущ;(;1
слаженность;.;сущ;.;3
график;и;сущ;союз;2
встречный;информация;прил;сущ;2
