prev_word;post_word;prev_pos;post_pos;key1;key2;key3;key4;key5;key6;tag
все;.;мест;.;0;0;0;0;0;0;3
муравьиный;.;прил;.;1;0;0;0;0;0;1
направление;.;сущ;.;0;1;0;0;0;0;2
трамвайный;?;прил;?;0;1;0;0;0;0;2
время;*;сущ;*;0;0;0;0;0;0;2
начинать;лучше;глаг;прил;0;1;0;0;0;0;2
дальнейший;игроки;прил;сущ;0;0;0;0;0;0;2
пластика;,;сущ;,;0;0;1;0;0;0;3
самый;ощущаться;прил;глаг;0;0;0;0;0;0;2
уличное;и;прил;союз;0;1;0;0;0;0;2
направление;велосипед;сущ;сущ;0;1;0;0;0;0;2
темп;не;сущ;част;0;1;0;0;0;0;2
,;денежный;,;прил;0;0;0;0;0;0;2
одно;рука;числ;сущ;0;0;1;0;0;0;3
коммунистический;остаться;прил;глаг;0;0;0;1;0;0;4
искусство;*;сущ;*;0;0;1;0;0;0;3
забастовочный;и;прил;союз;0;0;0;1;0;0;4
координация;:;сущ;:;0;0;1;0;0;0;3
исламистский;*;прил;*;0;0;0;0;0;0;4
наше;.;мест;.;0;0;0;0;0;0;3
мировое;вольный;прил;прил;0;0;0;0;0;0;4
признак;:;сущ;:;0;0;0;0;0;0;1
легчайший;сапог;прил;сущ;0;0;0;0;0;0;1
привычный;вверх;прил;нареч;0;0;0;0;0;0;3
за;облако;предл;сущ;0;0;0;0;0;0;2
прекращение;на;сущ;предл;0;1;0;0;0;0;2
траектория;.;сущ;.;0;1;0;0;0;0;2
скорость;невелика;сущ;нареч;1;0;0;0;0;0;1
прямолинейность;,;сущ;,;0;0;0;0;0;0;2
спокойное;он;прил;сущ;1;0;0;0;0;0;1
его;к;мест;предл;0;0;0;0;0;0;2
энергия;в;сущ;предл;0;0;0;0;0;0;1
крутильное;дневной;прил;прил;1;0;0;0;0;0;1
время;внутренний;сущ;прил;0;0;0;0;0;0;1
параметр;объект;сущ;сущ;0;0;0;0;0;0;1
график;пассажирский;сущ;прил;0;1;0;0;0;0;2
